item,implemented_definition,qualification
Threshold reference period,"1990-2010 inclusive as encoded in threshold filenames, global attributes, and archived threshold-generation scripts",Thresholds are fixed through historical and future event detection
Threshold seasonality,Time-invariant spatial quantile fields,Threshold files contain no calendar-month or day-of-year threshold dimension
Quantile estimator,Base R stats::quantile with na.rm=TRUE and no type override; therefore Hyndman-Fan type 7,Exact threshold-generation scripts are archived in release_metadata/source_code
tasmax threshold,"Layer 4 of [0.50, 0.75, 0.90, 0.95, 0.99] = p95",Strict operator: tasmax > threshold
tasmin threshold,"Layer 1 of [0.01, 0.05, 0.10, 0.25, 0.50] = p01",Strict operator: tasmin < threshold; baseline audit confirms p01 behavior
Precipitation threshold,"Layer 4 of [0.50, 0.75, 0.90, 0.95, 0.99] = p95",Strict operator plus pr >= 1 mm d-1
High-wind threshold,"Layer 4 of [0.50, 0.75, 0.90, 0.95, 0.99] = p95",Strict operator plus sfcWind >= 8 m s-1
Water-balance threshold,"Layer 2 (p05) from the legacy baseline water-balance/SPEI-3 threshold workflow; generated with SPEI::spei(scale=3, rectangular kernel) and type-7 quantiles","The released daily indicator is not canonical SPEI; source alias drought_q2_main means second stored quantile, not p02"
Water-balance standardization,"For each valid grid cell and processed year, z = (pr-PET-annual mean)/annual SD; rounded to 2 decimals; zero or non-finite annual SD remains missing","Event-year score is not canonical SPEI, is not accumulated, and is not standardized to the threshold baseline"
Calendar handling,"Source dates are parsed to R Date; within each model-year, variables are aligned to the modal time dimension","If a variable exceeds the modal dimension, day index 60 is removed; if shorter, day index 59 is duplicated. A static implementation audit and its qualification are supplied in calendar_harmonization_audit.csv"
Temperature units,Input K converted to degrees C by subtracting 273.15,Conditional magnitude rasters use degrees C
Precipitation units,Input kg m-2 s-1 multiplied by 86400 to mm d-1,Conditional magnitude rasters use mm d-1
PET units,Input PET is FAO-56 Penman-Monteith potential evapotranspiration in mm/day and is used directly,"Together with converted precipitation, physical water balance B=pr-PET is in mm/day"
Water-balance magnitude units,Conditional magnitude rasters store the annual within-cell standardized score Z_y,Dimensionless; the physical water balance B in mm/day is not stored as the conditional magnitude
Wind units,m s-1,Conditional magnitude rasters use m s-1
Common domain,Natural Earth 1:50m country polygons rasterized as land; Natural Earth 1:50m glaciated areas removed; latitude < -60 excluded,"Production manifest records rnaturalearth 0.3.2, sf 1.0.9, and terra 1.7.71; Natural Earth layers were retrieved during production on 18 August 2025"
Rain exclusion proxy,The production-domain screen excludes cells where the p95 precipitation threshold is <5 mm d-1,"This is a threshold-field screening heuristic, not observed January precipitation or a climatological aridity classification; a separate <10 mm d-1 ancillary mask is calculated but is not applied to event detection"
Water-balance exclusion proxies,Excluded if p95 precipitation threshold x 365 is <30 or >2000,These are threshold-field screening heuristics used to avoid implausible event definitions; they are not annual precipitation or climatological dryland/wet-climate classifications
Country boundaries,Natural Earth medium scale; iso_a3 used except -99 replaced by adm0_a3; geometries validated and dateline wrapped,Country products use 178 countries with complete five-model finite coverage
Native grid centers,"720 longitudes (-179.75 to 179.75) x 300 latitudes (-59.75 to 89.75); 216,000 centers; 61,533 valid-land centers",Nominal 0.5-degree global grid north of 60 S with land-valid and hazard-specific masks
GeoTIFF geotransform,Annual GeoTIFFs encode cell-edge bounds -180/180/-60/90 and 0.5 x 0.5 degree resolution,Cell centres match the release lookup table
Count raster missing convention,Cells outside the valid analysis domain are encoded as NoData; release-generation scripts explicitly restore NoData after monthly aggregation,Representative historical and future count rasters were audited after release correction
Magnitude raster missing convention,No-event cells/months are NA after infinite results are replaced,Deposited GeoTIFF NA flag is NaN
Monthly layer order,January through December; time stamps are the 15th of each month,12 layers per annual GeoTIFF
Ensemble aggregation,Arithmetic mean across five models after country/model aggregation,"Model minimum, maximum and SD describe inter-model spread, not calibrated uncertainty"
